Event Name,Event Description,Date and Time,Venue,Organization,Category,Number,Author,Keywords
Future Mobility Show,"This new initiative of the Confederation of Indian Industry (CII), for creating a sustainable future mobility in India, is supported by the Ministry of Road Transport & Highways, Government of India and associations like Automotive Components Manufacturers Association of India (ACMA), Society of Indian Automobile Manufacturers (SIAM), Society of Manufacturers of Electric Vehicles (SMEV), Association for Promotion of Electric Vehicles (APEV) of Japan, Society of Automotive Engineers India ( SAEINDIA) and The Energy and Resources Institute (TERI). The FMS 2019 is aimed at creating a common platform, for working towards the target of putting up a clean and sustainable Mobility for India by the year 2030, following on the lines of government of India’s initiatives and recent policies towards this. The event will focus on technological advancements and innovations to bring in alternate solutions to the conventional fuels that are currently in use in the automobile sector and to help achieve the target of zero emission mobility for India, in future. FMS will showcase latest products and technologies of zero emission standards from around the world, including zero emission vehicles for future mobility, alternate energy solutions, and related infrastructure to support this initiative.",25 - 27 Feb 2021," Pragati Maidan, New Delhi, India","Confederation Of Indian Industry, Northern Region",auto and automotives,,vIshvesh,
World Intelligent Robotic Process Automation Summit,"RPA is really as simple - and powerful - as it sounds. Robotic Process Automation enables you with tools to create your own software robots to automate any business process. Don’t miss World Intelligent Robotic Process Automation Summit! Get both the bird’s-eye view & the deep expertise you need to take your Automation career to the next level with ""Future of Work"". Track 1 : RPA Journey - Use Case / Case Study & Demos Track 2 : Jump Start and Scaling RPA with Bots & Digital workforce. INDEMNITY: Should for any reason outside the control of organizing company, the venue or the speakers change, or the event be cancelled due to industrial action, adverse weather conditions, or an act of terrorism, organizing company will endeavor to reschedule, but the client hereby indemnifies and holds organizing company harmless from and against any and all costs, damages and expenses, including attorney's fees, which are incurred by the client.",04 - 05 Mar 2021,"DoubleTree Suites by Hilton Hotel Bangalore, Bengaluru, India",1point21gws,auto and automotives,,vIshvesh,
IndExpo Jamshedpur,"""Mega industrial exhibition in Jamshedpur.""
IndExpo Jamshedpur event will showcase products like CNC Machines, Metrology, Instrumentation, Construction, Infrastructure development, Machine Tools,Industrial Automations, Electricals, Industrial Supplies and many more related products and services etc.",05 - 07 Mar 2021,"Adityapur Auto Cluster, Jamshedpur, India",Indore Infoline Pvt. Ltd.,auto and automotives,,vIshvesh,
Industrial Engineering Expo,"""Central India's Largest SME Exhibition""
This Exhibition will deliver real opportunities for the businesses to showcase their products & services to key audiences, to enabling them to develop new relationships with businesses across India. It is a great business platform with enormous opportunity where participants will be rest assured will be great response at the hand.
",05 - 08 Mar 2021,"Labhganga Exhibition Center, Indore, India",Future Communications ,auto and automotives,,vIshvesh,
Ride Asia,"Ride Asia will be a B2B event for attracting dealers, distributors, importers and entrepreneurs who are looking new business opportunities in E – Vehicles, E – Bikes, Cycles, Sports and Fitness industry. It will also be open to B2C segment to increase awareness about Electric vehicles cycling, Fitness, outdoor sports, cycling and provide knowledge about latest products and services with their availability.",19 - 21 Mar 2021,"Pragati Maidan, New Delhi, India",Udan Media & Communications Pvt. Ltd,auto and automotives,,vIshvesh,
Introduction to the system planning with PV SOL and PV SOL premium - Part 1,"We will show the design of an on-grid system with self-consumption, electric vehicle and feed-in concept Net-Metering. The following topics are covered: General settings, Import of load profiles, Heating with pv, The planning tools Photo Plan and graphic coverage & Economics and results.",09 Mar 2021,Online,Valentin Software,auto and automotives,,vIshvesh,
Transport India Expo,"Transport India Expo will focus on mobility solutions, public transport, smart logistics, intelligent transport systems, command and control centres, traffic control rooms and systems, road infrastructure and facilities, smart parking infrastructure and solutions, etc.",24 - 26 Mar 2021,"Pragati Maidan, New Delhi, India",Exhibitions India Group,auto and automotives,,vIshvesh,
AMTEX,"""Asian Machine Tool Exhibition""
AMTEX – North India’s biggest exhibition on metal cutting and machine tools industry.As one of the biggest exhibition in India on metal cutting and machine tool industry, AMTEX - Asian Machine Tool Exhibition has been taking place since 2001 in New Delhi. Bringing international and national players from India and overseas, AMTEX creates an ultimate marketplace which offers unique business, learning and networking opportunities. Reed Triune Exhibitions, the organisers of AMTEX work closely with industry stakeholders to keep the event relevant with changing needs of the industry and to enhance the experience of our exhibitors and visitors.

Highlights
Industry conferences and open-floor workshops. Buyer delegations from neighboring countries
VIP buyer program. Co-located with Automation & Robotics and Intertool exhibition
India's most preferred machine tool event.", 08 - 11 Apr 2021 ,"Pragati Maidan, New Delhi, India",REED TRIUNE EXHIBITIONS PVT. LTD.,auto and automotives,,vIshvesh,
TechnoXian EduTech Expo,"""A Creative Platform For You To Learn, Explore And Share Your Knowledge On Robotics & Automation""
TechnoXian EduTech Expo is a creative platform for you to learn, explore and share your knowledge on robotics & automation. In a nutshell, we let you have fun as you learn. We bring to you a global opportunity to participate in different competitions related to innovation, robotics, automation and many other fascinating challenge-based engineering competitions.",19 Apr 2021,"Thyagaraj Sports Complex, New Delhi, India",AICRA ,auto and automotives,,vIshvesh,
ACMA Automechanika New Delhi ,"""International Automotive Trade Fair from Design to Maintenance and Recycling""
ACMA Automechanika New Delhi is India's Leading international trade fair for the automotive aftermarket and service industry. It will introduce an unrivalled spectrum of the product that will on envelope the entire value chain of the automotive aftermarket. Automechnika will showcase an effective and innovative product range for automotive sector.", 22 - 25 Apr 2021,"Pragati Maidan, New Delhi, India",Messe Frankfurt Trade Fairs India Pvt. Ltd.,auto and automotives,,vIshvesh,
Die & Mould India International Exhibition,"""India's Largest International DIEMOULD Show""
Die & Mould India International Exhibition is an event which aims to promote training and the diffusion of knowledge relating to standards in the manufacture of Tools and Gauges to improve the standards or the connected trade therewith or with allied industries. The event focuses on promotion and encouragement of improvements in tool room industries for greater efficiency and to enhance the contribution of tool room industry to the growth and development of the Indian National Economy. Organised by TAGMA India, the event is the most popular mould & die show in India showcasing capabilities of the industry.

Highlights
Seminars, workshops and exhibitions to impart useful knowledge to the tool and gauge manufacturers.
Delegations, Country Pavilion at the overseas exhibitions.
Innovative products and manufacturing process covering the entire supply chain.
Event Timings for Engineering Students is from 2:00 PM to 6:00 PM(All Event Days)",28 Apr - 01 May 2021," Bombay Exhibition Centre (BEC), Mumbai, India",Tool & Gauge Manufacturers Association Of India ,auto and automotives,,vIshvesh,
EVEXPO,"""Join the Initiative Towards Pollution Free Nation""
EVEXPO brings to the Electric Vehicle industry the opportunity to showcase, see and understand the latest in the electric vehicle, Components, and Services for convenient and environment-friendly transportation of passengers and goods. The expo ensures that the right national and international players exhibit their technology and products to the right audience the Owners & Operators, the Manufacturers & Traders.
",07 - 09 May 2021,"Pragati Maidan, New Delhi, India",Altius Auto Solutions Private Limited,auto and automotives,,vIshvesh,
Drone International Expo,"The Drone International Expo is a display of capabilities, drones and unmanned systems for various application and it is an ideal platform to penetrate the newly opened market of the drones and unmanned systems and will also serve a networking point for all the stakeholders of the sector. It exhibits drones and unmanned systems manufacturers, component, wires, motors, sensors, CCTV suppliers, software developers for drones and unmanned systems, service companies, GPS and geospatial solutions providers, institutes developing drones, defence research labs, aerospace companies, space research organizations and many more.",13 - 14 May 2021,"Pragati Maidan, New Delhi, India",Nexgen Exhibitions Private Limited,auto and automotives,,vIshvesh,
Globe-Tech Engineering Expo,"""B2B Exhibition on Engineering Machinery - Machine Tools, Automation & Robotics""
Globe-Tech Engineering Expo is India's one of the largest SME gatherings on Engineering & Manufacturing products & services. It is an enormous platform to build cooperation between Manufacturers & their target Customers from all Industrial Sectors. GEE aims to promote the Indian Industry on international standard by bringing the manufacturers and end-users on this special forum. It will showcase the entire segment of Engineering Machinery, Machine Tools, Automation & Robotics, Instrumentation & Control, CNC Machines & SPM’s, Material Handling, Hydraulic & Pneumatic and many more. This show presents an unparalleled networking opportunity in the Engineering & Manufacturing Industry.

Highlights
Concurrent Show On Machine Tools, Automation & Robotics
Seminars on various topics & one to one business meeting with Indian & International Participants
Promote your brand to more than 15,000+ business visitors
Seminars on Current Topics related to your business",28 - 31 May 2021," Auto Cluster Exhibition Center, Pune, India",Globe-Tech Media Solutions,auto and automotives,,vIshvesh,
"Tennisball cricket tournament","Tennis ball cricket tournament was held under the ST BRITTO CRICKET ACADEMY BANNER.
Under 5 teams from within the school participated . First round was round robbin league. Secound round was a knock out semis , in which kolkatta knight riders def bangalore challenger and mumbai indians defeated chennai kings and entered the finals .
Finals was held between them . 20 20 overs match in which mumbsi indians defeated Bangalore challenger by 8 wickets.
Finally the prizes were distributed under the hands of the principal and chairperson of the cricket academy","18 January, 2020","Mapusa, Goa
",ST BRITTO CRICKET ACADEMY,Sports,,vIshvesh,
